subject,sequence,view,frame_count
001,nm-01,090,56
001,nm-02,090,51
001,nm-03,090,59
001,nm-04,090,59
001,nm-05,090,56
001,nm-06,090,59
002,nm-01,090,61
002,nm-02,090,63
002,nm-03,090,65
002,nm-04,090,70
002,nm-05,090,70
002,nm-06,090,63
003,nm-01,090,58
003,nm-02,090,63
003,nm-03,090,63
003,nm-04,090,64
003,nm-05,090,66
003,nm-06,090,64
004,nm-01,090,68
004,nm-02,090,67
004,nm-03,090,71
004,nm-04,090,69
004,nm-05,090,70
004,nm-06,090,71
005,nm-01,090,16
005,nm-02,090,11
005,nm-03,090,6
005,nm-04,090,9
005,nm-05,090,62
005,nm-06,090,3
006,nm-01,090,47
006,nm-02,090,43
006,nm-03,090,44
006,nm-04,090,43
006,nm-05,090,45
006,nm-06,090,44
007,nm-01,090,56
007,nm-02,090,59
007,nm-03,090,51
007,nm-04,090,56
007,nm-05,090,52
007,nm-06,090,56
008,nm-01,090,67
008,nm-02,090,73
008,nm-03,090,65
008,nm-04,090,65
008,nm-05,090,66
008,nm-06,090,67
009,nm-01,090,53
009,nm-02,090,54
009,nm-03,090,54
009,nm-04,090,52
009,nm-05,090,55
009,nm-06,090,64
010,nm-01,090,52
010,nm-02,090,73
010,nm-03,090,61
010,nm-04,090,71
010,nm-05,090,59
010,nm-06,090,61
011,nm-01,090,66
011,nm-02,090,61
011,nm-03,090,62
011,nm-04,090,58
011,nm-05,090,64
011,nm-06,090,62
012,nm-01,090,73
012,nm-02,090,68
012,nm-03,090,70
012,nm-04,090,68
012,nm-05,090,66
012,nm-06,090,66
013,nm-01,090,67
013,nm-02,090,67
013,nm-03,090,71
013,nm-04,090,71
013,nm-05,090,74
013,nm-06,090,70
014,nm-01,090,65
014,nm-02,090,61
014,nm-03,090,64
014,nm-04,090,67
014,nm-05,090,66
014,nm-06,090,68
015,nm-01,090,63
015,nm-02,090,59
015,nm-03,090,63
015,nm-04,090,54
015,nm-05,090,63
015,nm-06,090,59
016,nm-01,090,62
016,nm-02,090,60
016,nm-03,090,52
016,nm-04,090,59
016,nm-05,090,55
016,nm-06,090,60
017,nm-01,090,56
017,nm-02,090,55
017,nm-03,090,62
017,nm-04,090,62
017,nm-05,090,60
017,nm-06,090,64
018,nm-01,090,55
018,nm-02,090,48
018,nm-03,090,50
018,nm-04,090,48
018,nm-05,090,44
018,nm-06,090,47
019,nm-01,090,54
019,nm-02,090,57
019,nm-03,090,55
019,nm-04,090,53
019,nm-05,090,50
019,nm-06,090,43
020,nm-01,090,53
020,nm-02,090,52
020,nm-03,090,53
020,nm-04,090,51
020,nm-05,090,52
020,nm-06,090,50
021,nm-01,090,63
021,nm-02,090,61
021,nm-03,090,60
021,nm-04,090,59
021,nm-05,090,61
021,nm-06,090,59
022,nm-01,090,53
022,nm-02,090,59
022,nm-03,090,59
022,nm-04,090,60
022,nm-05,090,53
022,nm-06,090,56
023,nm-01,090,68
023,nm-02,090,67
023,nm-03,090,66
023,nm-04,090,56
023,nm-05,090,56
