true_subject,probe_sequence,euclidean_prediction,euclidean_distance,euclidean_correct,cosine_prediction,cosine_similarity,cosine_correct
001,nm-05,001,2.7418,True,001,0.998,True
001,nm-06,001,2.2371,True,001,0.9986,True
002,nm-05,002,3.2298,True,002,0.9968,True
002,nm-06,002,4.6524,True,002,0.9934,True
003,nm-05,003,2.5591,True,003,0.9983,True
003,nm-06,003,3.1138,True,003,0.9974,True
004,nm-05,004,1.8576,True,004,0.999,True
004,nm-06,004,1.7132,True,004,0.9992,True
006,nm-05,006,3.273,True,006,0.9971,True
006,nm-06,006,3.6123,True,006,0.9964,True
007,nm-05,007,4.451,True,007,0.9951,True
007,nm-06,007,3.8673,True,007,0.9962,True
008,nm-05,008,2.5076,True,008,0.998,True
008,nm-06,008,2.5064,True,008,0.998,True
009,nm-05,009,2.3962,True,009,0.9986,True
009,nm-06,009,3.9905,True,009,0.996,True
010,nm-05,010,4.0997,True,010,0.9951,True
010,nm-06,010,3.8518,True,010,0.9957,True
011,nm-05,011,3.0298,True,011,0.9974,True
011,nm-06,011,3.2556,True,011,0.997,True
012,nm-05,012,3.3778,True,012,0.996,True
012,nm-06,012,2.4576,True,012,0.9979,True
013,nm-05,013,3.7146,True,013,0.9966,True
013,nm-06,013,1.9002,True,013,0.9991,True
014,nm-05,014,3.6797,True,014,0.9964,True
014,nm-06,014,3.4861,True,014,0.9968,True
015,nm-05,015,3.0263,True,015,0.9974,True
015,nm-06,015,3.9294,True,015,0.9956,True
016,nm-05,016,3.0868,True,016,0.9968,True
016,nm-06,016,2.9262,True,016,0.9972,True
017,nm-05,017,3.1325,True,017,0.9975,True
017,nm-06,017,2.5452,True,017,0.9983,True
018,nm-05,018,4.1267,True,018,0.995,True
018,nm-06,018,3.5416,True,018,0.9963,True
019,nm-05,019,5.4624,True,019,0.9928,True
019,nm-06,019,6.8269,True,019,0.9884,True
020,nm-05,020,2.8608,True,020,0.9974,True
020,nm-06,020,2.5959,True,020,0.9978,True
021,nm-05,021,2.0634,True,021,0.9986,True
021,nm-06,021,2.7816,True,021,0.9974,True
022,nm-05,022,4.6248,True,022,0.9921,True
022,nm-06,022,4.3621,True,022,0.993,True
023,nm-05,023,5.6085,True,023,0.9926,True
023,nm-06,023,5.537,True,023,0.9917,True
024,nm-05,024,3.3001,True,024,0.9968,True
024,nm-06,024,3.4876,True,024,0.9964,True
025,nm-05,041,4.0539,False,041,0.9956,False
025,nm-06,025,3.6046,True,025,0.9962,True
026,nm-05,026,4.6665,True,026,0.9942,True
026,nm-06,026,2.6436,True,026,0.9981,True
027,nm-05,027,3.5593,True,027,0.9968,True
027,nm-06,027,3.9722,True,027,0.9959,True
028,nm-05,028,2.6442,True,028,0.9979,True
028,nm-06,028,3.4077,True,028,0.9966,True
029,nm-05,029,2.5217,True,029,0.9984,True
029,nm-06,029,3.8617,True,029,0.9961,True
030,nm-05,030,2.5884,True,030,0.9981,True
030,nm-06,030,3.7697,True,030,0.9958,True
031,nm-05,031,3.4502,True,031,0.9963,True
031,nm-06,031,2.5746,True,031,0.9979,True
032,nm-05,032,4.1447,True,032,0.9954,True
032,nm-06,032,3.4529,True,032,0.9966,True
033,nm-05,033,6.4604,True,033,0.9884,True
033,nm-06,120,6.4222,False,120,0.99,False
034,nm-05,034,2.3227,True,034,0.9983,True
034,nm-06,034,3.0223,True,034,0.9971,True
035,nm-05,035,2.9706,True,035,0.9977,True
035,nm-06,035,3.1146,True,035,0.9974,True
036,nm-05,036,2.7626,True,036,0.9967,True
036,nm-06,036,3.1108,True,036,0.9958,True
037,nm-05,037,3.7689,True,037,0.9946,True
037,nm-06,037,5.2958,True,037,0.9893,True
038,nm-05,038,3.0193,True,038,0.9976,True
038,nm-06,038,2.2672,True,038,0.9987,True
039,nm-05,039,2.659,True,039,0.998,True
039,nm-06,039,2.6801,True,039,0.998,True
040,nm-05,040,2.4876,True,040,0.9985,True
040,nm-06,040,3.8012,True,040,0.9962,True
041,nm-05,057,3.9124,False,057,0.9958,False
041,nm-06,041,2.9914,True,041,0.9973,True
042,nm-05,042,3.2113,True,042,0.9969,True
042,nm-06,042,3.1059,True,042,0.9971,True
043,nm-05,043,3.1363,True,043,0.997,True
043,nm-06,043,3.0031,True,043,0.9972,True
044,nm-05,044,3.1054,True,044,0.9972,True
044,nm-06,044,3.3723,True,044,0.9968,True
045,nm-05,045,4.5683,True,045,0.994,True
045,nm-06,045,2.7905,True,045,0.9977,True
046,nm-05,046,2.6391,True,046,0.9981,True
046,nm-06,046,2.5932,True,046,0.9982,True
047,nm-05,047,3.0605,True,047,0.997,True
047,nm-06,047,2.6078,True,047,0.9977,True
048,nm-05,048,3.3052,True,048,0.996,True
048,nm-06,048,3.1904,True,048,0.9961,True
049,nm-05,049,2.7836,True,049,0.9981,True
049,nm-06,049,2.6035,True,049,0.9983,True
050,nm-05,050,2.0527,True,050,0.9988,True
050,nm-06,050,2.8171,True,050,0.9978,True
051,nm-05,051,5.0178,True,051,0.9928,True
051,nm-06,051,3.8184,True,051,0.9959,True
052,nm-05,052,3.4651,True,052,0.9965,True
052,nm-06,052,3.0536,True,052,0.9973,True
053,nm-05,053,2.3939,True,053,0.9986,True
053,nm-06,053,3.5795,True,053,0.9968,True
054,nm-05,054,3.6056,True,054,0.9952,True
054,nm-06,054,3.3426,True,054,0.9963,True
055,nm-05,055,3.2587,True,055,0.9963,True
055,nm-06,055,3.3289,True,055,0.9963,True
056,nm-05,025,4.997,False,025,0.9931,False
056,nm-06,056,3.812,True,056,0.9963,True
057,nm-05,057,3.2185,True,057,0.997,True
057,nm-06,057,2.5596,True,057,0.9981,True
058,nm-05,058,2.8678,True,058,0.9973,True
058,nm-06,058,4.416,True,058,0.9938,True
059,nm-05,059,2.7941,True,059,0.998,True
059,nm-06,059,2.7713,True,059,0.9981,True
060,nm-05,060,2.8089,True,060,0.9977,True
060,nm-06,060,3.4737,True,060,0.9967,True
061,nm-05,063,4.5506,False,063,0.9938,False
061,nm-06,061,4.9794,True,061,0.993,True
062,nm-05,062,3.6732,True,062,0.9963,True
062,nm-06,062,3.0844,True,062,0.9974,True
063,nm-05,063,2.6197,True,063,0.9981,True
063,nm-06,063,2.6866,True,063,0.9981,True
064,nm-05,064,2.1475,True,064,0.9985,True
064,nm-06,064,2.6183,True,064,0.9977,True
065,nm-05,065,2.7632,True,065,0.9967,True
065,nm-06,065,2.86,True,065,0.9965,True
066,nm-05,066,3.1628,True,066,0.9969,True
066,nm-06,066,4.0247,True,066,0.995,True
067,nm-05,067,1.8977,True,067,0.999,True
067,nm-06,067,2.6797,True,067,0.998,True
